year,month,arrivals,tourist_receipts_usd,avg_length_of_stay_days,avg_daily_spending_usd
2014,1,146575,233016861.40,9.90,171.94
2014,2,141878,225268415.90,9.90,160.70
2014,3,133048,211317215.99,9.90,161.16
2014,4,112631,178882854.27,9.90,161.70
2014,5,90046,143105173.30,9.90,160.85
2014,6,103175,163959944.94,9.90,157.71
2014,7,133971,212744034.55,9.90,1516
2014,8,140319,222720914.27,9.90,162.86
2014,9,105535,1675649496,9.90,1556
2014,10,121576,193030913.77,9.90,1529
2014,11,119727,190190852.48,9.90,160.74
2014,12,178672,283037712.23,9.90,159.72
2015,1,156246,296601920.39,10.10,183.45
2015,2,165541,314125007.87,10.10,187.23
2015,3,157051,298376763.92,10.10,1879
2015,4,122217,232002527.04,10.10,173.20
2015,5,113529,215537177.39,10.10,165.36
2015,6,115467,219263517.08,10.10,185.03
2015,7,175804,333999405.95,10.10,187.37
2015,8,166610,316519409.81,10.10,186.23
2015,9,143374,272308120.86,10.10,186.69
2015,10,132280,251136620.04,10.10,189.76
2015,11,144147,273693009.11,10.10,169.70
2015,12,206114,390797367.92,10.10,183.16
2016,1,194280,3421029509,10.20,171.11
2016,2,197697,348403115.36,10.20,171.95
2016,3,192841,339786017.89,10.20,173.18
2016,4,136367,240106825.25,10.20,174.06
2016,5,125044,219664465.10,10.20,172.44
2016,6,118038,207204525.28,10.20,173.24
2016,7,209351,367520799.73,10.20,171.95
2016,8,186288,326624769.24,10.20,172.18
2016,9,148499,260071721.01,10.20,171.59
2016,10,150419,2637044086,10.20,171.86
2016,11,167217,292534657.23,10.20,171.44
2016,12,224791,393467181.58,10.20,171.53
2017,1,219360,318923136.00,10.90,149.13
2017,2,197517,286975873.12,10.90,133.71
2017,3,188076,273155319.68,10.90,132.74
2017,4,160249,232833165.35,10.90,133.09
2017,5,121891,176942801.14,10.90,132.71
2017,6,123351,178716433.39,10.90,133.70
2017,7,205482,297522393.02,10.90,132.67
2017,8,190928,2765668205,10.90,132.67
2017,9,145077,210140640.87,10.90,132.11
2017,10,152429,2206888349,10.90,133.11
2017,11,167511,242443309.62,10.90,132.63
2017,12,244536,354344855.94,10.90,132.91
2018,1,238924,320809224.08,10.80,130.08
2018,2,235618,316638066.12,10.80,126.69
2018,3,233382,313778236.67,10.80,122.77
2018,4,180429,242180611.32,10.80,121.08
2018,5,129466,173677121.49,10.80,122.42
2018,6,146828,196846499.65,10.80,127.
2018,7,217829,292232803.84,10.80,125.11
2018,8,200359,269049894.58,10.80,124.46
2018,9,149087,200381904.58,10.80,124.78
2018,10,153123,2058657216,10.80,124.55
2018,11,195582,262838270.51,10.80,121.69
2018,12,253169,340784145.30,10.80,125.34
2019,1,244239,296856481.18,10.40,117.08
2019,2,252033,305829484.12,10.40,116.94
2019,3,244328,2965778619,10.40,116.62
2019,4,166975,202843365.81,10.40,116.81
2019,5,37802,459706696,10.40,116.94
2019,6,63072,76639936.84,10.40,116.79
2019,7,115701,140656893.47,10.40,117.22
2019,8,143587,174465806.93,10.40,117.09
2019,9,108575,131914203.09,10.40,116.43
2019,10,118743,144313104.93,10.40,116.76
2019,11,176984,215249292.46,10.40,116.80
2019,12,241663,293074387.30,10.40,1113
2020,1,228434,3896437620,,1982
2020,2,207507,353844091.44,,201.65
2020,3,71370,121709486.32,,201.32
2020,4,0.00,0.00,0.00,0.00
2020,5,0.00,0.00,0.00,0.00
2020,6,0.00,0.00,0.00,0.00
2020,7,0.00,0.00,0.00,0.00
2020,8,0.00,0.00,0.00,0.00
2020,9,0.00,0.00,0.00,0.00
2020,10,0.00,0.00,0.00,0.00
2020,11,0.00,0.00,0.00,0.00
2020,12,0.00,0.00,0.00,0.00
2021,1,1682,870743.69,15.10,34.33
2021,2,3366,1741907.54,15.10,34.29
2021,3,4581,2373589.32,15.10,34.26
2021,4,4168,2158969.04,15.10,34.32
2021,5,1497,775561.64,15.10,34.32
2021,6,1614,8363365,15.10,34.35
2021,7,2429,1259671.96,15.10,34.27
2021,8,5040,2615407.77,15.10,34.19
2021,9,13547,7025452.37,15.10,34.02
2021,10,22771,11801979.82,15.10,34.00
2021,11,44294,229370767,15.10,34.15
2021,12,89506,46319469.88,15.10,34.48
2022,1,82327,41428733.22,9.00,54.69
2022,2,96507,48560014.13,9.00,55.70
2022,3,106500,53573030.13,9.00,55.82
2022,4,62980,31675810.01,9.00,55.81
2022,5,30207,15195092.48,9.00,55.72
2022,6,32856,16532572.46,9.00,55.64
2022,7,47293,23790070.56,9.00,55.96
2022,8,37760,18992016.17,9.00,55.94
2022,9,29802,14994705.17,9.00,55.95
2022,10,42026,211555001,9.00,55.76
2022,11,59759,30062504.02,9.00,55.95
2022,12,91961,46280775.44,9.00,55.99
2023,1,102545,46419295.89,44,42.24
2023,2,107639,48723150.36,44,42.59
2023,3,125495,56804296.84,44,42.45
2023,4,105498,47758790.15,44,42.49
2023,5,83309,37724203.27,44,42.13
2023,6,100388,45421949.32,44,42.55
2023,7,143039,64730419.23,44,41.66
2023,8,136405,61725280.20,44,42.32
2023,9,111938,50664314.42,44,42.42
2023,10,109199,49453230.04,44,42.58
2023,11,151496,685717066,44,42.46
2023,12,210352,95141751.35,44,42.48

